Fecha,TempAvg,TempMax,TempMin,HumidAvg,HumidMax,WindAvg,WindMax,Radiation,Rain,ET
01/01/2004,4.04,10.71,-1.97,88.3,95.9,0.75,3.53,5.49,0,0.54
02/01/2004,5.78,11.52,1.25,83.3,98.5,1.08,6.88,6.54,0,0.77
03/01/2004,5.85,13.32,0.38,75,94.4,0.98,6.58,8.81,0,0.84
04/01/2004,4.41,15.59,-2.58,82,97,0.63,3.7,9.79,0,0.69
05/01/2004,3.08,14.58,-2.97,83.2,97,0.39,2.24,10.3,0,0.52
06/01/2004,2.3,11.83,-3.38,84.5,96.5,0.44,2.14,9.94,0,0.49
07/01/2004,2.08,11.5,-3.11,87,96.6,0.45,3.95,7.41,0,0.51
08/01/2004,6.4,13.38,-1.3,88.6,97.4,1.19,6.82,4.63,0,0.72
09/01/2004,12.06,15.33,9.83,86.8,94.5,2.74,7.75,5,0,1.06
10/01/2004,10.85,16.59,5.68,84.9,95.6,1.64,4.54,8.93,0,1.06
11/01/2004,7.59,9.23,4.81,95.4,97.5,0.38,2.19,2.1,0,0.48
12/01/2004,7.41,10.24,5.2,93.1,97.1,0.79,3.1,4.33,0,0.57
13/01/2004,8.35,11.38,4.14,91.3,96.2,1.53,6.2,2.66,0.4,0.73
14/01/2004,8.74,13.32,2.86,86.9,96.6,2.17,9.23,3.92,0,0.92
15/01/2004,4.97,10.77,1.38,90,98.9,0.53,2.46,6.24,0,0.6
16/01/2004,5.18,12.91,-1.5,84.7,98.3,1.2,5.8,10.03,0.2,0.84
17/01/2004,6.23,13.85,-1.03,85.3,97.8,2.22,8.08,9.79,0,1.15
18/01/2004,6.12,10.03,-0.1,54.93,74,2.65,8.61,10.32,0,1.57
19/01/2004,3.76,12.37,-3.72,52.63,83.1,1.02,6.12,11.13,0,1.17
20/01/2004,1.47,11.84,-5.19,71.6,93.2,0.59,3.79,10.1,0,0.79
21/01/2004,2.37,14.24,-5.46,74.6,94.1,0.4,2.31,10.58,0,0.7
22/01/2004,2.97,13.99,-4.39,79.3,95.9,0.47,2.72,11.07,0,0.74
23/01/2004,6.11,17.27,-2.1,77.9,94.9,1,4.68,9.87,0,1.16
24/01/2004,9.3,19.67,1.99,78.9,97,0.57,2.91,10.71,0,1.01
25/01/2004,6.63,13.38,-0.56,87.1,97.6,1.47,6.64,8.1,0,0.96
26/01/2004,11.67,13.58,9.29,81.6,90,4.19,NA,2.78,0,1.4
27/01/2004,12.45,16.59,10.3,79.2,95.4,4.6,NA,9.29,0.8,2.1
28/01/2004,6.75,11.97,-1.77,59.96,86.9,0.96,6.98,12.31,0,1.12
29/01/2004,1.89,11.16,-4.99,71.4,93.1,0.49,2.85,11.77,0,0.81
30/01/2004,4.7,10.98,-0.22,75.4,95.3,0.7,3.55,4.43,2.6,0.84
31/01/2004,7.46,10.71,4.33,94,96.5,0.3,2.97,2.61,4.8,0.55
01/02/2004,10.68,15.06,8.09,91.6,97,0.34,2.3,4.58,0.4,0.73
02/02/2004,10.66,18.06,6.62,87.3,96.8,0.47,2.42,9.38,0,1.01
03/02/2004,9.19,19.27,2.05,83.7,97.8,0.49,2.08,12.05,0.2,1.13
04/02/2004,9.86,20.93,2.79,80.8,97.3,0.5,2.29,12.75,0,1.23
05/02/2004,10.01,21.15,1.85,78.9,97.1,0.54,2.53,12.94,0,1.29
06/02/2004,8.65,20.34,0.44,76.8,96.5,0.61,3.58,13.32,0,1.36
07/02/2004,7.44,18.19,0.24,82.1,97,0.42,1.89,10.86,0,1.07
08/02/2004,7.99,17.32,1.45,81.1,96.8,0.55,3.21,11.28,0,1.16
09/02/2004,6.27,13.92,0.71,85.4,97.2,0.77,3.99,6.55,0.2,0.97
10/02/2004,5.88,17.13,-1.71,70.3,98.3,1.28,6.64,12.84,0,1.88
11/02/2004,4.97,17.32,-4.39,58.5,87.6,0.54,2.62,14.81,0,1.34
12/02/2004,4.85,17.45,-4.59,62.63,90.3,0.57,3.31,14.53,0,1.36
13/02/2004,5.93,18.73,-3.31,63.97,90,0.55,2.66,14.37,0,1.42
14/02/2004,6.4,17.06,-2.17,67.95,90.8,0.67,3.23,12.79,0,1.4
15/02/2004,5.53,14.31,-2.1,83.1,96.2,1.09,4.83,13.35,0,1.31
16/02/2004,6.98,11.31,1.05,82.3,97,0.76,2.98,6.59,0,0.96
17/02/2004,3.46,13.44,-4.59,73.3,97.4,0.49,5.26,14.66,0.2,1.23
18/02/2004,3.95,12.04,-3.92,64.24,88.8,0.69,3.56,8.18,0,1.15
19/02/2004,5.24,12.9,-2.24,49.94,81.8,1,4.55,15.78,0,1.68
20/02/2004,4.81,9.78,-2.37,72.1,94.5,1.6,8.3,2.56,4.2,0.98
21/02/2004,6.7,11.65,1.92,89.5,96.3,1.7,7.69,3.86,14.4,0.9
22/02/2004,4.89,11.17,-1.43,80.7,97.3,1.25,7.05,10.57,1.4,1.31
23/02/2004,5.86,10.49,0.58,80,96.9,0.43,3.2,10.25,0,1.11
24/02/2004,5.44,7.63,4.47,94.5,96.6,0.77,3.66,1.69,25.4,0.57
25/02/2004,8.4,14.46,4.93,87.8,97,0.72,6.64,6.71,5.2,1.15
26/02/2004,5.91,8.02,-0.22,82.6,96.8,0.68,4.1,4.73,0.6,0.87
27/02/2004,2.47,7.76,-1.1,76,94.5,3.02,NA,9.22,1,1.68
28/02/2004,3.62,9.7,-2.04,69.64,88.7,3.34,9.32,15.22,0,1.95
29/02/2004,5.25,10.77,0.44,69.85,93.4,1.95,7.8,13.12,0,1.88
01/03/2004,2.8,9.22,-2.64,59.96,92.5,0.77,4.91,17.05,0,1.56
02/03/2004,1.82,11.5,-6.06,56.36,84.8,0.87,5.33,18.05,0,1.75
03/03/2004,3.2,13.45,-4.79,62.12,90.9,1.09,6.68,15.15,0,1.91
04/03/2004,6.73,16.93,-2.1,63.74,88.3,1.01,4.34,14.37,0,2.03
05/03/2004,8.9,17.68,1.18,64.55,92.1,0.77,3.98,9.44,0,1.69
06/03/2004,11.88,17.6,6.95,75,93.2,2.41,8.09,11.01,0.2,2.24
07/03/2004,8.97,17.11,1.65,62.02,85.4,0.77,4.51,19.01,0,2.2
08/03/2004,8.32,17.94,-0.02,75.9,94.2,0.94,5.29,15.46,0,2.04
09/03/2004,10.29,18.26,1.58,73.3,96.2,1.04,4.09,16.59,0,2.26
10/03/2004,12.21,17.54,8.89,73.3,89.6,2.25,8.2,13.29,2,2.64
11/03/2004,11.07,16.8,7.35,75.6,93.4,2.52,7.48,15.49,0.2,2.55
12/03/2004,10.67,16.41,7.55,82.3,94.7,2.09,NA,4.92,9.8,1.59
13/03/2004,8.53,13.92,5.14,88.1,95.9,0.72,6.6,6.18,6,1.17
14/03/2004,8.96,17.46,3.26,84.1,98.1,0.51,3.11,16.22,0,1.96
15/03/2004,11.64,21.94,2.72,74,96.2,0.84,5.5,17.93,0.2,2.62
16/03/2004,10.96,16.33,4.6,77,96.7,0.88,4.18,12.75,0,1.91
17/03/2004,11.59,16.53,6.68,75.3,91.5,0.76,3.85,10.17,0,1.7
18/03/2004,11.09,19.87,3.6,78.3,96.6,0.79,5.01,16.72,0,2.32
19/03/2004,12.51,21.95,3.73,67.84,96.6,0.72,4.57,19.78,0,2.75
20/03/2004,12.93,23.08,3.6,64.19,94.1,0.74,4.21,20.39,0,2.89
21/03/2004,13.54,24.96,5.01,63.2,91.3,1.64,7.53,19.66,0,3.78
22/03/2004,9.78,16.12,4.34,51.65,87.9,1.53,7.66,21.92,0,3.08
23/03/2004,8.5,15.52,-0.29,50.1,83.3,1.53,6.03,20.62,0,2.88
24/03/2004,8.01,10.3,5.81,74.7,91,0.93,3.46,6,3.8,1.27
25/03/2004,7.47,14.58,1.58,49.66,76.6,1.14,5.94,22.44,0,2.85
26/03/2004,3.76,6.15,1.05,79.8,94.8,1.14,4.69,3.56,8.6,0.92
27/03/2004,5.13,7.82,2.79,86,94.1,1.11,4.79,4.31,4.6,0.89
28/03/2004,4.76,7.89,1.98,93.8,96.3,1.32,4.49,2.79,23.6,0.67
29/03/2004,7.62,10.37,5.41,90,95,1.03,4.49,5.3,21,1
30/03/2004,8.5,10.1,7.29,91.2,95.7,1.86,7.25,3.67,20.4,0.87
31/03/2004,9.46,13.99,6.01,76.6,87.8,2.16,7.46,11.76,0.2,2.12
01/04/2004,9.01,11.92,7.29,78.5,91,2.22,8.66,6.46,6.6,1.48
02/04/2004,8.18,12.44,5.21,79.1,93.6,2.72,9.45,15.1,6,2.27
03/04/2004,9.33,17,2.19,78.2,96.1,0.7,4.18,19.87,0,2.56
04/04/2004,11.74,20.34,3.73,75.6,95.9,0.55,3,20.87,0,2.85
05/04/2004,13.2,22.68,4.95,72.9,95.8,0.6,3.36,20.26,0.2,3.02
06/04/2004,14.49,24.76,4.61,68.1,95.1,1.11,5.73,24.22,0,3.91
07/04/2004,14.42,23.29,4.74,61.88,95.4,0.79,5.39,23.35,0,3.53
08/04/2004,12.17,19.22,6.15,63.92,89.7,1.18,5.75,15.18,0,2.65
09/04/2004,8.83,15.52,2.06,47.5,70.8,1.55,6.12,25.45,0,3.57
10/04/2004,7.04,13.85,-0.16,54.45,85.8,1.45,6.96,21.07,0,2.94
11/04/2004,7.5,15.19,-1.7,54.98,91,1.13,7.59,20.99,0,2.91
12/04/2004,8.64,16.26,0.11,58.54,89.7,1.04,5.54,17.43,0,2.64
13/04/2004,9.42,17.47,0.12,55.2,90.7,0.97,5.27,25.76,0,3.39
14/04/2004,10.72,18.46,2.13,53.23,83.7,0.96,3.95,25.78,0,3.53
15/04/2004,11.76,20.07,4,59.61,92.3,1.56,7.28,21.99,3,3.64
16/04/2004,12.84,18.68,8.83,76.3,94.8,1.81,7.1,11.92,6.8,2.47
17/04/2004,9.9,15.53,5.34,73.1,91.2,2.32,7.16,12.12,0,2.45
18/04/2004,9.97,14.53,5.34,71.3,83.6,3.75,NA,11.21,0.2,2.73
19/04/2004,9.95,16.33,3.2,59.97,83.3,3.06,9.12,19.84,0,3.57
20/04/2004,11.49,17.87,5.82,73.4,93.6,2.21,7.2,16.53,0,2.83
21/04/2004,13.56,23.55,3.4,68.81,96,1.37,6.87,23.59,0,3.93
22/04/2004,12.49,18.14,7.29,59.15,91.5,2.73,7.12,24.15,1,4.18
23/04/2004,12.43,22.15,1.52,58.63,92.8,0.9,4.88,27.26,0,3.99
24/04/2004,14.96,25.43,4.41,55.77,92.5,0.64,3.74,27.78,0,4.2
25/04/2004,16.57,27.83,5.69,53.41,87.5,0.86,4.5,27.72,0,4.63
26/04/2004,18.03,28.17,7.63,51.89,83.7,0.81,4.03,27.53,0,4.66
27/04/2004,18.49,27.78,9.38,52.67,81.4,1.01,4.81,23.06,0.2,4.4
28/04/2004,13.86,19.94,8.89,71.5,90.9,1.18,6.6,11.15,7.8,2.37
29/04/2004,12.91,18.28,9.63,73.9,94.7,1.41,5.94,19.24,7.8,3.34
30/04/2004,11.13,16.26,7.15,55.74,81.9,1.89,7.37,22.55,0.2,3.73
01/05/2004,9.89,13.18,7.69,79.6,87.1,1.3,6.87,8.75,5.4,1.73
02/05/2004,10.25,14.93,6.48,85.3,95,0.96,5.11,11.61,18.2,1.99
03/05/2004,10.99,15.13,8.36,78.2,95.1,1.19,5.69,9.41,16,1.84
04/05/2004,12.64,18.95,4.2,63.67,94.1,1.96,7.4,24.65,0,3.9
05/05/2004,11.88,15.33,9.43,75.2,87.1,5.36,NA,13.93,3,2.85
06/05/2004,11.65,17.27,6.62,58.35,86.7,2.74,NA,22.96,0.6,3.9
07/05/2004,11.15,15.94,3.87,56.64,91.6,1.72,5.43,19.19,0,3.21
08/05/2004,11.35,18.67,3.07,53.12,91.8,0.78,4.93,30.12,0,4.13
09/05/2004,11.97,19.06,4.68,67.42,90.8,1.49,8.1,23.61,0.8,3.88
10/05/2004,12.29,18.53,9.02,80.6,95.6,0.81,5.83,17.22,13,2.83
11/05/2004,11.47,13.38,10.17,88.8,94.5,0.85,4.33,5.5,11.2,1.24
12/05/2004,12.7,17.67,9.91,81.7,94.2,0.78,5.45,11.26,10.2,2.14
13/05/2004,14.6,21.55,8.1,66.59,95.2,0.92,5.4,25.75,0,4.13
14/05/2004,14.39,21.28,6.09,60.27,93,0.86,4.66,27.61,0,4.25
15/05/2004,15.61,23.56,8.57,62.26,91.2,0.93,5.17,25.16,0,4.28
16/05/2004,17.02,24.9,9.04,56.06,84.6,0.74,7.74,29.45,0,4.78
17/05/2004,18.03,27.11,8.84,57.13,89,0.75,4.75,25.59,0,4.51
18/05/2004,18.78,25.43,9.31,48.03,86.7,0.97,5.36,29.84,0,5.11
19/05/2004,18.78,26.51,9.64,43.73,74.8,1,5.59,30.07,0,5.26
20/05/2004,18.55,26.71,8.84,45.55,76.3,0.88,5.08,29.58,0,5.1
21/05/2004,15.71,23.03,11.52,66.15,94.7,0.88,6.25,12.77,10.8,2.72
22/05/2004,16.4,23.35,12.12,80.2,95.6,0.72,4.1,21.3,2.6,3.69
23/05/2004,15.16,23.1,10.24,83.6,95.4,0.75,7.6,14.78,17.2,2.81
24/05/2004,15.03,22.09,12.46,84.7,93.8,0.59,4.64,11.11,7,2.23
25/05/2004,15.44,20.36,11.52,84,95.5,0.71,4.91,12.83,0.6,2.42
26/05/2004,16.8,22.89,12.93,77.9,94.7,0.73,4.37,18.49,0,3.36
27/05/2004,17.71,25.3,10.71,74.3,96,0.55,4.04,24.32,0.2,4.15
28/05/2004,18.87,26.84,11.04,69.87,95.8,0.65,3.81,25.9,0.2,4.54
29/05/2004,19.77,28.39,10.52,65.93,94.8,0.65,4.25,28.32,0,4.98
30/05/2004,21.11,28.98,12.19,63.88,95.2,0.88,5.43,27.93,0,5.2
31/05/2004,21.96,30.58,12.66,63.12,94.5,0.47,3.08,29.67,0,5.25
01/06/2004,23,32.73,13.87,60.56,91.3,0.51,2.99,29.62,0,5.43
02/06/2004,24.02,33.33,14.74,53.11,86.1,0.59,2.83,26.71,0,5.23
03/06/2004,22.37,32.39,11.12,40.17,72.3,0.57,3.2,30.6,0,5.45
04/06/2004,21.73,32.34,10.92,44.94,80.6,0.6,3.27,30.78,0,5.53
05/06/2004,23.68,35,12.66,49.31,83.1,0.66,4.07,30.25,0,5.79
06/06/2004,24.22,35.54,14.01,50.88,86.9,0.93,8.17,26.97,3.8,5.83
07/06/2004,22.43,30.52,15.32,65.95,94.9,0.82,5.06,23.77,12,4.81
08/06/2004,24.15,32.66,15.47,48.29,85.8,0.79,4.8,29.23,0,5.76
09/06/2004,24.68,32.79,15.2,44.67,74.4,0.8,5.08,28.76,0,5.72
10/06/2004,25.15,34.14,16.28,47.33,78.5,0.68,3.18,28.78,0,5.72
11/06/2004,25.64,36.08,16.28,46.38,77.9,0.54,3.15,26.99,0,5.42
12/06/2004,24.43,35.81,16.48,55.51,84.2,0.81,7.98,24.41,4.2,5.42
13/06/2004,23.16,31.6,15.14,52.04,93.8,0.79,4.95,29.46,0,5.69
14/06/2004,20.33,29.06,12.26,40.74,68.82,1.16,5.23,30.67,0,5.93
15/06/2004,19.3,28.79,9.71,51.29,89.1,0.65,3.99,28.35,0,5.01
16/06/2004,21.71,30.92,11.4,48.54,82.2,0.64,5.7,29.43,0,5.38
17/06/2004,23.06,33.67,11.06,49.49,90.1,0.55,3.51,30.18,0,5.54
18/06/2004,24.78,36.34,11.99,40.4,84,1.03,6.12,28.97,0,6.29
19/06/2004,22.24,28.58,16.75,44.89,65.84,2.17,7.5,28.96,0,6.66
20/06/2004,21.4,28.38,13.6,44.55,78.4,0.86,4.77,25.56,0,4.99
21/06/2004,21.18,31.06,9.71,50.07,88.7,1.11,8.17,28.76,0,5.72
22/06/2004,23.95,34.21,13.33,44.93,82.7,1.15,6.21,25.45,0,5.78
23/06/2004,25.04,32.8,16.21,49.39,75.9,1.94,6.82,29.16,0,6.85
24/06/2004,26.16,35.01,16.21,51.26,86.3,0.91,4.29,27.53,0,5.89
25/06/2004,26.42,37.21,15.61,51.79,90.6,0.74,4.99,27.19,0,5.8
26/06/2004,27.83,39.76,16.48,48.87,89.6,0.57,3.34,29.34,0,6.02
27/06/2004,29.21,41.51,15.55,42.67,86.5,0.63,3.46,29.47,0,6.26
28/06/2004,29.89,41.84,19.16,35.84,71.7,0.64,4.66,28.26,0,6.16
29/06/2004,29.01,41.91,16.61,40.42,79.6,0.79,6.2,29.49,0,6.52
30/06/2004,28.11,39.62,15.76,37.14,86.9,1.17,7.06,30,0,7.01
01/07/2004,26.37,39.23,13.67,39.67,81.5,0.76,5.11,29.53,0,6.17
02/07/2004,25.95,38.21,13.2,44.14,86.9,0.63,3.41,29.33,0,5.85
03/07/2004,26.43,37.55,17.29,51.46,87.2,0.78,4.82,29.17,0,6.15
04/07/2004,27.35,38.28,17.15,46.28,84.1,0.76,4.5,28.89,0,6.15
05/07/2004,27.93,40.5,16.28,40.01,82.7,0.71,3.36,27.34,0,6
06/07/2004,24.08,33.82,18.29,57.78,83.9,1.28,7.38,15.91,3.2,4.59
07/07/2004,19.57,26.85,11.92,41.94,75.4,2.38,7.59,30.06,0,6.5
08/07/2004,17.48,25.37,8.52,46.84,82.9,1.21,7.09,30.1,0,5.34
09/07/2004,19.25,31.39,7.37,49.31,90.1,0.65,4.1,29.84,0,5.24
10/07/2004,21.41,32.74,9.31,47.88,85.7,0.8,4.18,26.08,0,5.19
11/07/2004,22.84,33.27,11.67,46.38,87.2,0.69,3.54,27.01,0,5.25
12/07/2004,21.45,29.98,12.81,42.37,77.1,0.73,3.75,29.13,0,5.32
13/07/2004,21.6,32.33,12.13,41.54,73.6,0.58,2.81,29.62,0,5.27
14/07/2004,23.8,33.53,11.39,43.5,83.3,0.59,4.76,29.08,0,5.41
15/07/2004,26.34,37.48,15.88,46.81,81.1,0.7,3.91,28.58,0,5.84
16/07/2004,27.04,39.15,18.09,44.07,82.1,0.9,5.05,24.98,0.8,5.89
17/07/2004,26.46,36.41,17.42,50.24,78.9,0.74,4.24,25.65,0,5.5
18/07/2004,25.72,36.21,15.6,40.92,84,0.89,6,27.38,0,5.85
19/07/2004,24.09,36.68,12.39,44.04,86.6,0.97,5.56,23.93,0,5.55
20/07/2004,24.34,35.87,12.46,48.31,89.1,0.71,4.57,28.49,0,5.62
21/07/2004,25.65,39.36,13.4,49.17,88.2,0.63,4.38,27.57,0,5.66
22/07/2004,26.8,39.49,13.33,45.99,90.6,0.95,5.83,27.84,0,6.23
23/07/2004,28.46,40.97,18.29,44.57,80.6,0.56,4.16,22.8,0,5.11
24/07/2004,28.23,41.76,17.76,47.96,84.7,0.61,9.03,22.82,0,5.24
25/07/2004,27.43,40.16,16.48,41.91,84.3,0.8,5.29,26.34,0,5.89
26/07/2004,25.83,37.02,15.61,39.19,80.5,0.59,4,27.58,0,5.42
27/07/2004,25.16,38.15,13.2,49.6,88.4,0.54,4.34,26.45,0,5.21
28/07/2004,26.43,39.42,13.74,42.15,84,1.04,5.38,25.6,0,6.07
29/07/2004,25.46,35.4,14.14,41.38,80.7,0.63,3.6,25.97,0,5.12
30/07/2004,27.67,38.75,16.75,43.72,84.7,0.68,3.6,25.54,0,5.44
31/07/2004,29.52,40.23,18.63,38.36,79.9,0.8,4.73,25.2,0,5.74
01/08/2004,28.06,39.42,18.28,43.06,83.9,0.73,6.57,22.69,0,5.23
02/08/2004,28.22,38.35,19.56,37.97,76,1.19,5.79,24.88,0,6.17
03/08/2004,24.96,33.06,16.34,42.23,71.7,1.58,6.71,23.05,0,5.74
04/08/2004,24.24,33.19,15.29,50.25,81.3,1.02,4.45,26.33,0,5.48
05/08/2004,23.63,35.13,13.54,53.55,88.1,0.55,3.7,26.87,0,5.04
06/08/2004,25.81,38.01,14.75,48.05,81.1,0.68,3.83,24.78,0,5.19
07/08/2004,28.06,37.82,19.08,39.09,72.9,0.84,3.87,23.24,0,5.31
08/08/2004,27.11,35,18.49,49.24,87.6,1.47,6.54,23.18,0,5.75
09/08/2004,19.4,26.18,14.73,77.7,94.3,1.22,5.52,8.58,15,2.47
10/08/2004,19.63,27.44,13.6,70.4,94.9,1.14,5.96,22.15,0,4.36
11/08/2004,21.64,30.91,11.45,59.83,93.6,1.19,5.47,26.4,0,5.22
12/08/2004,22.45,30.39,14.28,57.33,87.6,1.86,6.86,23.65,0,5.53
13/08/2004,21.97,33.92,11.06,55.91,92.8,0.61,3.68,26.59,0,4.83
14/08/2004,24.23,37.08,12.79,54.57,85.3,0.51,3.37,26.44,0,4.89
15/08/2004,25.66,38.28,14.75,51.92,90.7,0.79,4.51,26.13,0,5.45
16/08/2004,25.01,34.06,14.87,48.62,82.7,1.76,6.32,25.62,0,6.07
17/08/2004,21.89,27.32,0,64.49,89.8,1.62,6.87,9.23,0,3.79
18/08/2004,22.03,30.86,12.86,62.49,94.2,1.62,8.18,25.18,0,5.37
19/08/2004,19.71,26.98,12.79,71,93.5,1.58,7.15,16.76,2.8,3.95
20/08/2004,19.34,28.39,10.66,55.92,94.5,0.86,6.16,25.9,0,4.54
21/08/2004,19.41,30.59,8.77,54,91.1,0.57,3.34,25.73,0,4.29
22/08/2004,22.51,32.81,13.8,60.08,85.9,0.58,2.7,17.65,0,3.65
23/08/2004,27.04,37.75,17.62,49.06,84.1,0.97,4.74,19.53,0,4.82
24/08/2004,26.28,38.21,15.74,48.29,90.1,1.03,6.54,23.44,0,5.4
25/08/2004,24.13,37.74,13.13,47.52,87,1.06,6.75,23.79,0,5.45
26/08/2004,22.19,36.28,10.05,52.17,86.7,0.44,2.94,24.85,0,4.21
27/08/2004,23,36.14,12.32,50.82,82.9,0.71,4.02,24.65,0,4.72
28/08/2004,23.77,36.81,12.05,43.21,87.9,0.78,4.18,23.72,0,4.79
29/08/2004,23.26,35.67,13.6,55.9,88.2,0.64,4.18,24.05,0,4.52
30/08/2004,23.54,36.28,12.26,54.39,87.3,0.66,3.72,23.7,0,4.54
31/08/2004,22.47,34.4,12.19,49.68,89.6,0.79,5.02,24.21,0,4.6
01/09/2004,22.18,33.66,11.26,49.76,83.5,0.71,4.78,22.96,0,4.29
02/09/2004,22.25,30.59,14.01,48.89,79.1,0.76,4.49,17.98,0,3.67
03/09/2004,18.2,23.37,14.8,81.5,94,0.5,4.59,5.63,2.4,1.6
04/09/2004,23.92,33.28,14.66,65.45,94,1.5,7.53,14.71,0.2,4.12
05/09/2004,25.26,33.86,14.95,53.25,90.1,0.88,4.97,18.44,0,4.04
06/09/2004,21.01,32.66,11.06,54.86,91.5,0.53,4.03,21.7,0,3.76
07/09/2004,23.87,33.33,12.32,54.46,89.8,1.39,6.39,21.87,0,4.94
08/09/2004,26.15,32.86,21.31,57.56,77.7,2.08,7.17,19.71,0,5.29
09/09/2004,25.96,34.27,19.15,55.36,80.6,1.18,5.12,18.27,0,4.4
10/09/2004,23.76,35.34,14.34,57.67,91.3,0.56,4.49,20.55,0,3.85
11/09/2004,22.88,34.19,12.39,51.59,89.3,0.56,3.65,18.74,0,3.55
12/09/2004,21.63,34.66,11.52,51.05,89,0.64,4.58,21.1,0,3.87
13/09/2004,21.03,33.59,9.65,47.39,85.3,0.91,5.48,21.11,0,4.16
14/09/2004,19.31,29.78,9.58,49.66,85.5,1.03,6.01,18.36,0,3.73
15/09/2004,19,26.51,13.13,49.36,76.7,1,4.48,20.8,0,3.69
16/09/2004,17.37,28.72,10.05,53.01,80.2,0.54,3.15,21.01,0,3.24
17/09/2004,18.42,32.61,6.43,48.86,83.4,0.56,3.72,20.95,0,3.4
18/09/2004,19.94,35.08,8.7,48.31,77.7,0.66,4.24,19.51,0,3.63
19/09/2004,20.81,34.8,9.11,45.21,80.1,0.66,4.23,20.41,0,3.65
20/09/2004,21.12,34.8,10.93,54.3,83.1,0.6,3.58,19.73,0,3.53
21/09/2004,21.66,35.4,10.66,51.73,82,0.53,3.44,19.69,0,3.38
22/09/2004,20.8,34.46,10.12,46.35,81.3,0.56,2.73,19.89,0,3.33
23/09/2004,20.46,34.8,8.37,42.62,77.5,0.57,3.65,19.05,0,3.28
24/09/2004,21.96,34.6,8.77,37.47,74.2,0.65,3.79,18.95,0,3.37
25/09/2004,17.81,26.44,10.12,43.63,73.1,0.72,4.23,19.33,0,3.03
26/09/2004,16.38,30.66,3.95,46.25,87,0.66,4.86,19.25,0,3.12
27/09/2004,18.24,28.78,8.3,50.72,81.2,0.7,4.02,19.32,0,3.07
28/09/2004,17.93,32.12,8.1,53.69,83.2,0.48,4.18,18.66,0,2.85
29/09/2004,17.24,32.53,5.96,47.88,80.6,0.42,3.35,18.7,0,2.69
30/09/2004,18.16,34.27,6.9,44.53,75.9,0.6,5.1,18.32,0,3.08
01/10/2004,18.94,33.73,7.83,46.58,72.9,0.65,4.06,17.78,0,3.1
02/10/2004,19.02,34.47,7.96,46.64,76.7,0.5,3.93,17.33,0,2.81
03/10/2004,18.55,32.53,8.1,50.87,82.7,0.46,2.6,16.44,0,2.58
04/10/2004,18.84,33.06,9.31,51.08,83.1,0.48,3.05,16.94,0,2.66
05/10/2004,19.31,32.54,9.78,53.1,81.6,0.48,3.83,15.54,0,2.53
06/10/2004,19.19,32.46,9.11,50.39,79.4,0.7,4.99,14.74,0,2.83
07/10/2004,19.42,32.33,10.45,51.28,82.8,0.64,4.46,15.48,0,2.75
08/10/2004,21.22,28.92,12.12,53.02,89.4,1.8,8.29,11.6,0,3.41
09/10/2004,15.81,22.7,7.5,64.99,91.3,1.76,9.27,14.08,0.2,2.85
10/10/2004,13.13,20.82,4.35,63.67,93.8,1.82,7.85,11.94,0,2.6
11/10/2004,14.26,21.02,9.04,64.83,82.9,1.8,6.81,13.33,0,2.61
12/10/2004,13.77,22.76,4.61,60.45,91.2,0.92,6.03,13.43,0,2.21
13/10/2004,10.7,22.15,1.33,54.96,87.5,0.76,4.85,16,0,2.15
14/10/2004,11.6,19.41,2.6,54.56,84.3,1.38,7.36,14.66,0,2.37
15/10/2004,13.06,21.36,5.35,55.69,78.6,1.64,6.22,12.85,0,2.62
16/10/2004,12.5,21.96,2.13,60.19,90.1,1.64,7.93,15.53,0,2.65
17/10/2004,12.9,23.75,3.82,63.28,92.7,0.53,4.16,15.27,0,1.86
18/10/2004,13.6,21.5,6.5,65.08,93.1,0.68,5.71,6.64,6.6,1.56
19/10/2004,18.6,23.37,13.8,77.6,93,1.86,6.96,5.06,0.2,1.7
20/10/2004,19.43,25.04,15.74,74.8,92.3,2.43,8.75,10.21,9.2,2.86
21/10/2004,15.11,22.51,10.79,85.4,94.7,0.83,5.66,5.62,4,1.36
22/10/2004,15.01,24.78,9.11,79.4,95.4,0.58,4.96,10.58,0.2,1.67
23/10/2004,16.27,29.8,7.56,75.8,94.8,0.46,3.98,13.19,0.2,1.86
24/10/2004,16.19,25.3,8.97,71,94.2,0.83,5.52,13.29,0,2.01
25/10/2004,12.17,14.14,9.38,90.2,95.3,1.16,5.38,1.8,18.8,0.8
26/10/2004,11.22,17.93,5.96,90.5,100,0.83,3.56,12.62,0.2,1.32
27/10/2004,11.43,14.07,7.76,88.1,94.2,0.91,4.44,1.41,16,0.77
28/10/2004,10.67,17.69,3.68,85.6,99.7,1.52,8.31,7.43,3.6,1.4
29/10/2004,7.1,11.65,0,89.5,95.7,0.94,6.05,0.42,1,1.39
30/10/2004,8.66,14.8,3.2,86,96.4,0.88,4.82,7.01,0.2,1.07
31/10/2004,9.42,14.66,5.01,86,96.2,0.62,4.38,6.04,4.4,0.94
01/11/2004,8.44,17.07,3.48,98.9,100,0.78,5.04,9.69,0.2,0.86
02/11/2004,7.83,17.4,1.06,99.5,100,0.7,4.57,12.04,0,0.94
03/11/2004,9.77,15.61,4.01,93.7,100,0.28,2.59,5.44,1.8,0.74
04/11/2004,11.93,16.01,9.97,88.9,96.1,0.5,4.64,4.41,4.8,0.8
